Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,32.7
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,25.7
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,24.8
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,23.2
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,18.4
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,13.6
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,14.4
Symptoms of Depressive Disorder,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,20.8
Symptoms of Depressive Disorder,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,26.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,29.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,25.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,23.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.3
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,18.6
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,19.2
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.4
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,26.6
Symptoms of Depressive Disorder,By State,California,California,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,25.4
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,24.4
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.1
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,26.4
Symptoms of Depressive Disorder,By State,Florida,Florida,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.5
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,25.6
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,20
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,20.6
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,23.3
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,26.4
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,16.5
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.1
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,23.2
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.1
Symptoms of Depressive Disorder,By State,Maine,Maine,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,19.5
Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,20.9
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,25.9
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,25.5
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,20.4
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.9
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21
Symptoms of Depressive Disorder,By State,Montana,Montana,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,18.2
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,19.1
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,23.6
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,19.5
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,23.6
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.4
Symptoms of Depressive Disorder,By State,New York,New York,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.7
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.1
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,17
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.2
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,20.8
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.5
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,24.7
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,24.5
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.6
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,17.5
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.2
Symptoms of Depressive Disorder,By State,Texas,Texas,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,24.4
Symptoms of Depressive Disorder,By State,Utah,Utah,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.9
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,20.7
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.5
Symptoms of Depressive Disorder,By State,Washington,Washington,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.1
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,23.4
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,18.9
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,40.2
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.4
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.1
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,24.9
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,16.4
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,14.6
Symptoms of Anxiety Disorder,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,26.1
Symptoms of Anxiety Disorder,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,35.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,36.3
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,29
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,32.8
